track_id,listens,title,tracks,type,duration,interest,name,genre_top_Blues,genre_top_Classical,genre_top_Country,genre_top_Easy Listening,genre_top_Electronic,genre_top_Experimental,genre_top_Folk,genre_top_Hip-Hop,genre_top_Instrumental,genre_top_International,genre_top_Jazz,genre_top_Old-Time / Historic,genre_top_Pop,genre_top_Rock,genre_top_Soul-RnB,genre_top_Spoken,genre_top_nan,audio_file,feature_vector
139,-0.208749506,Every Man For Himself,-0.441993341,Album,0.061479458,-0.150054819,Alec K. Redfearn & the Eyesores,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139.mp3,"[[-5.7760522e+02 -3.4230939e+02 -1.9542595e+02 ...  1.8829691e+01
   7.1624885e+00 -8.2109318e+00]
 [ 0.0000000e+00  1.2099701e+02  1.1028702e+02 ...  7.5647522e+01
   7.9525429e+01  8.0585297e+01]
 [ 0.0000000e+00 -1.4128969e+01 -2.1668615e+01 ... -4.9257202e+00
  -1.3626484e+01 -1.1872499e+01]
 ...
 [ 0.0000000e+00 -5.7033896e-01 -1.3286688e+01 ... -3.7219787e+00
  -9.4271433e-01 -7.0694427e+00]
 [ 0.0000000e+00 -4.5338707e+00 -2.3350558e+00 ...  3.8280911e+00
   1.0180844e+01  7.1974950e+00]
 [ 0.0000000e+00 -1.7982616e+01 -2.2732094e+01 ... -7.0309391e+00
  -9.8128242e+00 -8.5467091e+00]]"
152,-0.215918986,Make Them Suffer,-0.441993341,Album,-0.276761993,-0.153472959,Animal Writes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,152.mp3,"[[-2.10727097e+02 -6.36064034e+01 -2.89635162e+01 ... -9.30347214e+01
  -7.30692444e+01 -5.78237076e+01]
 [ 1.04861961e+02  1.07983673e+02  1.04458511e+02 ...  1.45516144e+02
   1.20615814e+02  9.40690536e+01]
 [-3.22361488e+01 -3.37408791e+01 -3.12581329e+01 ...  1.82276115e-01
   1.90682650e+00  7.11439037e+00]
 ...
 [-1.77463379e+01 -9.04765129e+00 -1.28941607e+00 ... -8.56943321e+00
  -2.95245576e+00  1.30671155e+00]
 [-2.24511032e+01 -1.42844706e+01 -1.06753111e+01 ...  1.36130226e+00
  -7.68521357e+00 -7.89791203e+00]
 [-1.06112690e+01 -1.37970848e+01 -1.59042253e+01 ... -4.66584492e+00
  -6.47975683e+00 -8.73228931e+00]]"
165,-0.205090366,Thee Haunted Cobblestone Sunset Concert Series #7,-0.161130303,Live Performance,-0.303033173,-0.178609435,Area C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165.mp3,"[[-4.4637885e+02 -3.2310855e+02 -2.9064703e+02 ... -1.6988454e+02
  -1.7722029e+02 -2.0280423e+02]
 [ 1.3552866e+02  1.5660339e+02  1.5035463e+02 ...  1.5671754e+02
   1.6254938e+02  1.5874414e+02]
 [ 2.7402588e+01  4.5069275e+00  3.3971152e+00 ...  3.4944124e+00
   7.0841675e+00  1.2897542e+01]
 ...
 [-9.8217249e+00 -5.9643087e+00 -6.3105154e+00 ... -1.0414242e+01
  -6.2754431e+00 -7.8864217e+00]
 [-8.7746201e+00 -7.1005054e+00 -6.4094906e+00 ... -1.5777962e+00
   1.0609293e-01 -7.1473255e+00]
 [-1.0161805e+01 -1.2513066e+01 -1.1709443e+01 ... -7.4388318e+00
  -4.0120640e+00 -9.1820660e+00]]"
166,-0.205090366,Thee Haunted Cobblestone Sunset Concert Series #7,-0.161130303,Live Performance,0.376733626,-0.17250937,Area C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,166.mp3,"[[-523.9151    -393.2868    -350.62894   ... -315.16394   -318.14545
  -348.74408  ]
 [ 147.18019    151.36304    146.76917   ...  144.5459     143.50574
   141.79645  ]
 [  30.046642    22.046112    21.240013  ...    9.009224     3.9130678
     5.2187653]
 ...
 [ -17.44233    -17.8805     -15.730396  ...   -6.8407235   -9.823191
    -8.309933 ]
 [ -10.368376   -11.233613   -10.747242  ...   -9.655761   -14.485437
   -11.250956 ]
 [ -11.07994    -15.351004   -15.111419  ...   -6.8020377  -10.362384
   -13.973604 ]]"
246,-0.196493753,Open Relationship,-0.416460337,Album,-0.378562818,-0.100202561,Bird Names,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,246.mp3,"[[-118.57195      22.079273     52.752728   ... -169.45337
  -175.74106    -170.73738   ]
 [  68.91442      66.70804      68.26036    ...  113.21936
   111.576065    115.37455   ]
 [  11.463648      7.516962      2.4088905  ...  -29.240108
   -27.515947    -20.312561  ]
 ...
 [ -14.605402    -15.89669     -15.468439   ...  -26.416946
   -29.603405    -29.922491  ]
 [   0.908709     -3.2413673    -4.0566654  ...    2.0165362
    -0.39141166    0.98662794]
 [   6.9388733     1.8162417     0.46794748 ...   -1.7952948
    -4.652        -3.49813   ]]"
254,-0.196493753,Open Relationship,-0.416460337,Album,-0.34900774,-0.059815922,Bird Names,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254.mp3,"[[-231.32825    -86.62451    -51.379124  ...   66.26477     70.11372
    46.17716  ]
 [ 134.30054    134.78928    135.01358   ...   76.711       66.72954
    73.584625 ]
 [  14.383131     7.194215    -0.6485829 ...    8.736276    -3.6904898
    -8.335142 ]
 ...
 [   6.508796     8.260914     8.386766  ...   11.663521     7.352391
     6.559806 ]
 [  17.183216    17.503002    16.837591  ...    4.870605     3.0880206
     4.4800863]
 [  15.8927555    8.973423     4.484333  ...   -3.328617    -3.2750251
    -1.7219288]]"
274,-0.19746772,4: All Aboard the Magic Pus,-0.493059348,Album,-0.28004589,-0.151737596,Black Pus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,274.mp3,"[[-102.556786     40.799545     74.02753    ...  127.08656
   127.77159     103.11034   ]
 [  68.51688      72.491165     80.4015     ...   28.488598
    28.473331     29.069727  ]
 [  -8.43827     -11.904564    -16.17454    ...  -21.768457
   -24.091434    -29.785452  ]
 ...
 [  -8.232538     -7.405902     -6.588516   ...   -0.35420656
     2.397941      3.0034373 ]
 [  -8.277393     -1.7149881     3.4865155  ...    8.9175625
     7.9692564     6.2169952 ]
 [ -16.310528     -8.490016     -8.970031   ...   -8.510415
   -12.178215    -13.419944  ]]"
317,-0.19430909,Stripey Collection,-0.493059348,Album,-0.260342505,-0.170037791,Blah Blah Blah,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,317.mp3,"[[-284.59232   -150.47694   -114.925934  ... -110.90126   -104.78486
  -130.66895  ]
 [ 127.32942    152.6666     154.23633   ...  123.42401    119.82403
   113.04029  ]
 [ -25.825073   -38.940178   -39.781128  ...  -44.674286   -44.652565
   -48.60077  ]
 ...
 [ -10.338984    -0.70735      6.6813602 ...   22.550138    25.663855
    26.571224 ]
 [ -11.729121   -13.211395    -9.602899  ...   17.05753     21.015015
    22.34602  ]
 [ -11.896292    -2.8651726   -3.9540713 ...    7.353679     2.548491
    -2.6605074]]"
338,-0.142587376,30th Anniversary Blah Blah Blah,0.043133725,Album,-0.621571239,-0.176663724,Blah Blah Blah,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,338.mp3,"[[-394.91672    -260.44675    -232.75165    ... -213.25359
  -200.85596    -203.25471   ]
 [ 186.47336     196.66005     197.53009    ...  168.21576
   179.47531     187.19464   ]
 [  17.467876      7.534936      8.374315   ...  -12.862633
    -5.7773814     0.48801553]
 ...
 [   3.2261558     4.2280974     4.8611255  ...  -33.094116
   -24.977085    -20.259525  ]
 [   2.5916483     4.98671       4.6689644  ...   -2.298379
     2.476493      3.5487387 ]
 [   8.665093      6.891844      5.3262076  ...   12.656211
     9.65428       6.053934  ]]"
367,-0.142587376,30th Anniversary Blah Blah Blah,0.043133725,Album,-0.549325492,-0.17966117,Blah Blah Blah,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,367.mp3,"[[-376.32996    -231.4529     -188.16364    ... -116.05677
  -121.98388    -108.57753   ]
 [  83.93027     108.14543     120.85901    ...   95.32051
   115.033936    105.98412   ]
 [ -54.953136    -54.165237    -45.735306   ...  -61.304554
   -72.24226     -65.65503   ]
 ...
 [  21.445648     19.988457     25.544178   ...    1.1666231
     3.29563       2.5480294 ]
 [  15.9657345    25.069954     30.138592   ...    4.4072175
    -0.39358544    6.7116995 ]
 [ -10.937356    -10.662042     -7.8023167  ...   -3.4415612
    -4.4065866    -6.769606  ]]"
